brand, product, price, shipping, hyperlink
MSI,MSI 131207 GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4G OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$297.99,$1.18 Shipping,https://www.newegg.com/msi-geforce-gtx-1050-ti-gtx-1050-ti-4g-oc/p/N82E16814137056?Item=9SIA4UBANB1649
MSI,MSI GeForce GTX 1650 DirectX 12 GTX 1650 VENTUS XS 4G OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$159.99,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1650-gtx-1650-ventus-xs-4g-oc/p/N82E16814137415?Item=N82E16814137415
MSI,MSI GeForce GT 730 DirectX 12 N730-4GD3V2 4GB 128-Bit DDR3 PCI Express 2.0 x16 HDCP Ready ATX Video Card,$94.99,Free Shipping,https://www.newegg.com/msi-geforce-gt-730-n730-4gd3v2/p/N82E16814127907?Item=N82E16814127907
EVGA,EVGA GeForce GT 710 DirectX 12 01G-P3-2711-KR 1GB 64-Bit DDR3 PCI Express 2.0 Low Profile Video Card,$48.78,Free Shipping,https://www.newegg.com/evga-geforce-gt-710-01g-p3-2711-kr/p/N82E16814487221?Item=9SIAFJ8A0J6064
EVGA,EVGA GeForce GT 710 DirectX 12 02G-P3-2713-KR 2GB 64-Bit DDR3 PCI Express 2.0 Video Card,$56.85,Free Shipping,https://www.newegg.com/evga-geforce-gt-710-02g-p3-2713-kr/p/N82E16814487219?Item=9SIAFJ8A0H0850
EVGA,EVGA GeForce GT 710 DirectX 12 02G-P3-2717-KR 2GB 64-Bit DDR3 PCI Express 2.0 Video Card,$57.18,Free Shipping,https://www.newegg.com/evga-geforce-gt-710-02g-p3-2717-kr/p/N82E16814487217?Item=9SIA2F84BC9274
ASUS,ASUS GeForce RTX 2080 Ti 11G Turbo Edition GDDR6 HDMI DP 1.4 Type-C Graphics Card,$1287.00,Free Shipping,https://www.newegg.com/asus-geforce-rtx-2080-ti-turbo-rtx2080ti-11g/p/N82E16814126248?Item=9SIA25V9544378
MSI,MSI GeForce GTX 1660 DirectX 12 GTX 1660 GAMING X 6G 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$237.99,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1660-gtx-1660-gaming-x-6g/p/N82E16814137401?Item=N82E16814137401
MSI,MSI GeForce RTX 2080 Ti DirectX 12 RTX 2080 Ti GAMING TRIO 11GB 352-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$1189.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2080-ti-rtx-2080-ti-gaming-trio/p/N82E16814137405?Item=N82E16814137405
GIGABYTE,GIGABYTE AORUS GeForce RTX 2080 TI DirectX 12 GV-N208TAORUS X-11GC Video Card,$1299.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2080-ti-gv-n208taorus-x-11gc/p/N82E16814932076?Item=N82E16814932076
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$399.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2060-rtx-2060-gaming-z-6g/p/N82E16814137379?Item=9SIAMNEBR31905
MSI,MSI GeForce RTX 2080 Ti DirectX 12 RTX 2080 TI VENTUS 11G OC 11GB 352-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$1099.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2080-ti-rtx-2080-ti-ventus-11g-oc/p/N82E16814137351?Item=N82E16814137351
EVGA,EVGA GeForce GTX 1660 Ti XC Black GAMING| 06G-P4-1261-KR| 6GB GDDR6| HDB Fan,$297.49,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1660-ti-06g-p4-1261-kr/p/N82E16814487430?Item=9SIAN0MBM83932
MSI,MSI GeForce GTX 1650 DirectX 12 GTX 1650 GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$158.27,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1650-gtx-1650-gaming-x-4g/p/N82E16814137417?Item=N82E16814137417
MSI,MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER GAMING X 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$269.99,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1660-super-gtx-1660-super-gaming-x/p/N82E16814137476?Item=N82E16814137476
ASUS,ASUS GeForce GTX 1650 4GB Phoenix Fan Overclocked Edition HDMI DP DVI Graphics Card (PH-GTX1650-O4G),$149.99,$2.99 Shipping,https://www.newegg.com/asus-geforce-gtx-1650-ph-gtx1650-o4g/p/N82E16814126322?Item=N82E16814126322
ASUS,ASUS Dual GeForce RTX 2080 SUPER DUAL-RTX2080S-O8G-EVO-V2 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,$729.99,$6.99 Shipping,https://www.newegg.com/asus-rtx-2080-super-dual-rtx2080s-o8g-evo/p/N82E16814126354?Item=N82E16814126354
MSI,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER VENTUS GP OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$509.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2070-super-rtx-2070-super-ventus-gp-oc/p/N82E16814137528?Item=N82E16814137528
GIGABYTE,GIGABYTE GeForce RTX 2080 SUPER DirectX 12 GV-N208SGAMINGOC WB-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,$729.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2080-super-gv-n208sgamingoc-wb-8gd/p/N82E16814932245?Item=N82E16814932245
GIGABYTE,GIGABYTE AORUS GeForce RTX 2080 Ti DirectX 12 GV-N208TIXEB-11GC 11GB 256-Bit GDDR6 PCI Express 3.0 x4 SLI Support ATX Gaming Box,$1499.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2080-ti-gv-n208tixeb-11gc/p/N82E16814932227?Item=N82E16814932227
GIGABYTE,GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656OC-4GD 4GB 128-Bit GDDR6 PCI Express 3.0 x16 mini-ITX Video Card,$169.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1650-gv-n1656oc-4gd/p/N82E16814932287?Item=N82E16814932287
NVIDIA,NVIDIA GeForce GTX 1080 Founders Edition| 8GB GDDR5X PCI Express 3.0 Graphics Card,$860.00,Free Shipping,https://www.newegg.com/nvidia-900-1g413-2500-00/p/1FT-0004-001S3?Item=9SIAE8D8A52985
EVGA,EVGA GeForce GTX 1080 Ti SC2 GAMING| 11G-P4-6593-KR| 11GB GDDR5X| iCX Technology - 9 Thermal Sensors & RGB LED G/P/M OEM Edition (No Packaging and Accessories),$899.99,$45.00 Shipping,https://www.newegg.com/evga-geforce-gtx-1080-ti-11g-p4-6393-kr-oem/p/1FT-001K-00717?Item=9SIAGKCB5K3418
MSI,MSI GeForce GTX 1060 DirectX 12 GTX 1060 GAMING X 6G 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,$489.00,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-gaming-x-6g/p/N82E16814127963?Item=9SIAE8D9C94948
MSI,MSI GeForce GTX 1070 DirectX 12 GTX 1070 GAMING X 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,$599.00,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1070-gtx-1070-gaming-x-8g/p/N82E16814127947?Item=9SIAE8D8ZC8453
EVGA,EVGA GeForce RTX 2060 KO GAMING Video Card| 06G-P4-2066-KR| 6GB GDDR6| Dual Fans| Metal Backplate,$339.00,Free Shipping,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2066-kr/p/N82E16814487488?Item=9SIAN0MBKY9433
ASUS,ASUS GeForce GT 1030 2GB Phoenix Fan OC Edition HDMI DVI Graphics Card (PH-GT1030-O2G),$84.99,$3.99 Shipping,https://www.newegg.com/asus-geforce-gt-1030-ph-gt1030-o2g/p/N82E16814126209?Item=N82E16814126209
EVGA,EVGA GeForce GTX 1070 FTW GAMING ACX 3.0| 08G-P4-6276-KR| 8GB GDDR5| RGB LED| 10CM FAN| 10 Power Phases| Double BIOS| DX12 OSD Support (PXOC),$625.00,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1070-08g-p4-6276-kr/p/N82E16814487259?Item=9SIAE8D8EV4246
MSI,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 Ti Titanium 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card - (OEM Packaging and Manual),$499.99,$45.00 Shipping,https://www.newegg.com/msi-geforce-gtx-1070-ti-gtx-1070-ti-gaming-8g/p/1FT-0009-004A6?Item=9SIAGKCAS66861
EVGA,EVGA GeForce GTX 1080 FTW GAMING ACX 3.0| 08G-P4-6286-KR| 8GB GDDR5X| RGB LED| 10CM FAN| 10 Power Phases| Double BIOS| DX12 OSD Support (PXOC),$860.00,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1080-08g-p4-6286-kr/p/N82E16814487245?Item=9SIAE8D8C83171
MSI,MSI GeForce GTX 1080 Ti DirectX 12 GeForce GTX 1080 Ti GAMING X 11G 11GB 352-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support Video Card- OEM Edition,$899.99,$75.00 Shipping,https://www.newegg.com/msi-geforce-gtx-1080-ti-gaming-x-11g/p/1FT-0009-004C4?Item=9SIAGKCAWA8415
EVGA,EVGA GeForce GTX 1060 6GB SSC GAMING ACX 3.0| 6GB GDDR5| LED| DX12 OSD Support (PXOC)| 06G-P4-6267-KR,$489.00,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-06g-p4-6267-kr/p/N82E16814487275?Item=9SIAE8D9EZ4008
MSI,MSI GeForce GT 1030 DirectX 12 GT 1030 2GD4 LP OC 2GB 64-Bit DDR4 PCI Express 3.0 x16 (Uses x4) HDCP Ready Low Profile Video Card,$84.97,Free Shipping,https://www.newegg.com/msi-geforce-gt-1030-gt-1030-2gd4-lp-oc/p/N82E16814137318?Item=N82E16814137318
GIGABYTE,GIGABYTE GeForce RTX 2080 Ti DirectX 12 GV-N208TTURBO OC-11GC V2 11GB 352-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,$1249.99,$3.99 Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2080-ti-gv-n208tturbo-oc-11gc/p/N82E16814932296?Item=N82E16814932296
EVGA,EVGA GeForce GTX 1060 SC GAMING| ACX 2.0 (Single Fan)| 03G-P4-6162-KR| 3GB GDDR5| DX12 OSD Support (PXOC),$340.00,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-03g-p4-6162-kr/p/N82E16814487267?Item=9SIAE8D9EZ3826
NVIDIA,NVIDIA 900-1G611-2550-000 GeForce GTX 1080 Ti Founders Edition DirectX 12 11GB 352-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$1099.00,Free Shipping,https://www.newegg.com/nvidia-geforce-gtx-1080-ti-fe-gtx-1080-ti-founders-edition/p/1FT-0004-001S9?Item=9SIAE8D8CH9091
NVIDIA,Nvidia GEFORCE GTX 1070 Ti - FE Founder's Edition,$675.00,Free Shipping,https://www.newegg.com/p/1FT-0004-001S5?Item=9SIAE8D8CM0017
ASUS,ASUS ROG GeForce GTX 1080 Ti DirectX 12 STRIX-GTX1080TI-O11G-GAMING 11GB 352-Bit GDDR5X PCI Express 3.0 HDCP Ready Video Card,$1125.00,Free Shipping,https://www.newegg.com/asus-geforce-gtx-1080-ti-strix-gtx1080ti-o11g-gaming/p/N82E16814126186?Item=9SIAE8D8EG9144
GIGABYTE,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060WF2OC-6GD 6GB 192-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,$489.00,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1060-gv-n1060wf2oc-6gd/p/N82E16814125901?Item=9SIAE8D9YY9385
EVGA,EVGA GeForce GTX 1080 Ti SC2 GAMING| 11G-P4-6593-KR| 11GB GDDR5X| iCX Technology - 9 Thermal Sensors & RGB LED G/P/M,$1099.00,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1080-ti-11g-p4-6593-kr/p/N82E16814487337?Item=9SIAE8D98G2403
EVGA,EVGA GeForce GT 1030 SC| 02G-P4-6333-KR| 2GB GDDR5| Low Profile,$97.99,Free Shipping,https://www.newegg.com/evga-geforce-gt-1030-02g-p4-6333-kr/p/N82E16814487347?Item=9SIAFJ8A0X2675
ASUS,ASUS GeForce GTX 1070 STRIX-GTX1070-8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,$620.00,Free Shipping,https://www.newegg.com/asus-geforce-gtx-1070-strix-gtx1070-8g-gaming/p/N82E16814126111?Item=9SIAE8D8EF9971
MSI,MSI GeForce GTX 1080 Ti DirectX 12 GeForce GTX 1080 Ti GAMING X 11G 11GB 352-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$1099.00,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1080-ti-gaming-x-11g/p/N82E16814137113?Item=9SIAE8D8GD1550
EVGA,EVGA GeForce GTX 1080 Ti FE DirectX 12 11G-P4-6390-KR 11GB 352-Bit GDDR5X PCI Express 3.0 SLI Support FOUNDERS EDITION Video Card,$1099.00,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1080-ti-fe-11g-p4-6390-kr/p/N82E16814487335?Item=9SIAE8D8CH9227
EVGA,EVGA GeForce GTX 1070 GAMING| 08G-P4-5171-KR| 8GB GDDR5| ACX 3.0 & Black Edition,$620.00,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1070-08g-p4-5171-kr/p/N82E16814487279?Item=9SIAE8D8EV4330
EVGA,EVGA GeForce GTX 1080 SC GAMING ACX 3.0| 08G-P4-6183-KR| 8GB GDDR5X| LED| DX12 OSD Support (PXOC),$859.00,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1080-08g-p4-6183-kr/p/N82E16814487244?Item=9SIAE8D8A19156
MSI,MSI GeForce GTX 1070 DirectX 12 GTX 1070 GAMING 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,$599.00,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1070-gtx-1070-gaming-8g/p/N82E16814127955?Item=9SIAE8D8TU7163
MSI,MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER VENTUS XS OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$249.99,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1660-super-gtx-1660-super-ventus-xs-oc/p/N82E16814137475?Item=N82E16814137475
GIGABYTE,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060WF2OC-3GD 3GB 192-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,$370.00,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1060-gv-n1060wf2oc-3gd/p/N82E16814125906?Item=9SIAE8D9YY9354
EVGA,EVGA GeForce GTX 1060 SC GAMING| ACX 2.0 (Single Fan)| 06G-P4-6163-KR| 6GB GDDR5| DX12 OSD Support (PXOC)| Only 6.8 Inches,$489.00,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-06g-p4-6163-kr/p/N82E16814487261?Item=9SIAE8D96W3589
EVGA,EVGA GeForce GTX 1060 GAMING| ACX 2.0 (Single Fan)| 06G-P4-6161-KR| 6GB GDDR5| DX12 OSD Support (PXOC)| Only 6.8 Inches,$439.00,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-06g-p4-6161-kr/p/N82E16814487260?Item=9SIAE8D9EZ5047
EVGA,EVGA GeForce GTX 1080 Ti SC Black Edition GAMING| 11G-P4-6393-KR| 11GB GDDR5X| iCX Cooler & LED,$1090.00,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1080-ti-11g-p4-6393-kr/p/N82E16814487336?Item=9SIAE8D9FG0784
ASUS,ASUS GeForce GTX 1050 CERBERUS-GTX1050-O2G 2GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,$159.99,$2.99 Shipping,https://www.newegg.com/asus-geforce-gtx-1050-cerberus-gtx1050-o2g/p/N82E16814126239?Item=N82E16814126239
MSI,MSI GeForce GTX 1070 DirectX 12 GTX 1070 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,$610.00,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1070-gtx-1070-armor-8g-oc/p/N82E16814127951?Item=9SIAE8DA237957
MSI,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 Ti GAMING 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,$695.00,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1070-ti-gtx-1070-ti-gaming-8g/p/N82E16814137254?Item=9SIAE8D8N48201
ASUS,ASUS Phoenix GeForce GTX 1660 Ti PH-GTX1660TI-O6G 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$395.00,Free Shipping,https://www.newegg.com/asus-geforce-gtx-1660-ti-ph-gtx1660ti-o6g/p/N82E16814126299?Item=9SIA2W0B9W3104
Corn Electronics,CORN GTX750ti Graphic Card 1GB 128 Bit DDR5 DirectX 12 Video Card GPU PCI Express3.0 16X DVI/VGA/HDMI,$89.99,$4.27 Shipping,https://www.newegg.com/corn-electronics-nvidia-geforce-gtx-750/p/1FT-0040-00004?Item=9SIA4RE5X87772
EVGA,EVGA GeForce GTX 1060 GAMING| ACX 2.0 (Single Fan)| 03G-P4-6160-KR| 3GB GDDR5| DX12 OSD Support (PXOC)| Only 6.8 Inches,$340.00,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-03g-p4-6160-kr/p/N82E16814487263?Item=9SIAE8D9EZ6317
MSI,MSI GeForce GTX 1060 DirectX 12 GTX 1060 ARMOR 6G OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,$489.00,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-armor-6g-oc/p/N82E16814127964?Item=9SIAE8D9C96107
ASUS,ASUS Dual GeForce GTX 1660 Ti DUAL-GTX1660TI-O6G 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$447.00,Free Shipping,https://www.newegg.com/asus-geforce-gtx-1660-ti-dual-gtx1660ti-o6g/p/N82E16814126297?Item=9SIAEUY9H60057
GIGABYTE,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060G1 GAMING-3GD 2.0 3GB 192-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,$339.00,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1060-gv-n1060g1-gaming-3gd-2-0/p/N82E16814125902?Item=9SIAE8DB6E1558
EVGA,EVGA GeForce GTX 1070 SC GAMING ACX 3.0| 08G-P4-6173-KR| 8GB GDDR5| LED| DX12 OSD Support (PXOC),$620.00,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1070-08g-p4-6173-kr/p/N82E16814487248?Item=9SIAE8D8EV4601
DELL,Dell Optiplex 740 750 3010 3020 7010 7020 9010 9020 SFF GT 610 1GB PCI Express 2.0 x16 DVI+HDMI Single Slot Low Profile Video Graphics Card,$49.99,Free Shipping,https://www.newegg.com/p/1FT-000X-000P9?Item=9SIA4RE9MX8193
EVGA,EVGA GeForce GTX 1060 DirectX 12 06G-P4-6262-KR 6GB 192-Bit GDDR5 PCI Express 3.0 Video Card,$489.00,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-06g-p4-6262-kr/p/N82E16814487280?Item=9SIAE8DA3T1128
ASUS,ASUS Dual GeForce GTX 1660 Ti DUAL-GTX1660TI-6G 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$413.00,Free Shipping,https://www.newegg.com/asus-geforce-gtx-1660-ti-dual-gtx1660ti-6g/p/N82E16814126298?Item=9SIAEUY9H59788
EVGA,EVGA GeForce GTX 1070 GAMING ACX 3.0| 08G-P4-6171-KR| 8GB GDDR5| LED| DX12 OSD Support (PXOC),$620.00,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1070-08g-p4-6171-kr/p/N82E16814487249?Item=9SIAE8D8EV4452
ASUS,ASUS ROG GeForce GTX 1080 STRIX-GTX1080-A8G-GAMING 8GB 256-Bit GDDR5X PCI Express 3.0 HDCP Ready Video Card,$860.00,Free Shipping,https://www.newegg.com/asus-geforce-gtx-1080-strix-gtx1080-a8g-gaming/p/N82E16814126116?Item=9SIAE8D8EG8800
ASUS,ASUS ROG GeForce GTX 1070 Ti ROG-STRIX-GTX1070TI-A8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready SLI Support Video Card,$685.00,Free Shipping,https://www.newegg.com/asus-geforce-gtx-1070-ti-rog-strix-gtx1070ti-a8g-gaming/p/N82E16814126225?Item=9SIAE8D8EV2071
EVGA,EVGA 200 GeForce 210 DirectX 10.1 01G-P3-1312-LR 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,$42.05,Free Shipping,https://www.newegg.com/evga-geforce-210-01g-p3-1312-lr/p/N82E16814130586?Item=9SIAFJ8A0H0860
ASUS,ASUS GeForce GT 1030 2GB GDDR5 HDMI DVI Graphics Card (GT1030-2G-CSM),$89.50,Free Shipping,https://www.newegg.com/asus-geforce-gt-1030-gt1030-2g-csm/p/N82E16814126203?Item=9SIA8N26NX8732
Corn Electronics,CORN GTX 750Ti 128-Bit 2GB GDDR5 Graphic Card with dual fans DirectX12 Video Card GPU PCI Express 3.0 VGA/DVI/HDMI|Play for LOL|PUBG|OW|War Thunder etc.,$109.99,Free Shipping,https://www.newegg.com/corn-electronics-nvidia-geforce-gtx-750-ti/p/1FT-0040-00080?Item=9SIA4REB817251
EVGA,EVGA GeForce GTX 1070 Ti FTW2 GAMING 08G-P4-6775-KR| 8GB GDDR5 iCX - 9 Thermal Sensors & RGB LED G/P/M,$680.00,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1070-ti-08g-p4-6775-kr/p/N82E16814487388?Item=9SIAE8D9YY9561
None,MINGYING GTX 750TI 2GBD5  GeForce GTX 750 Ti  2GB  GDDR5 128-Bit GDDR5 PCI Express 3.0 Gaming Video Card 2560 * 1600 60Hz DVI HDMI VGA,$99.99,$20.00 Shipping,https://www.newegg.com/mingying-geforce-gtx-750-ti-750ti-2gd5/p/1FT-009P-00002?Item=9SIAGKC9XA3631
EVGA,EVGA GeForce GTX 1060 3GB SSC GAMING ACX 3.0| 03G-P4-6167-KR| 3GB GDDR5| LED| DX12 OSD Support (PXOC),$339.00,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-03g-p4-6167-kr/p/N82E16814487284?Item=9SIAE8D8A71077
EVGA,EVGA GeForce GT 1030 SC| 02G-P4-6332-KR| 2GB GDDR5| Passive| Low Profile,$101.76,Free Shipping,https://www.newegg.com/evga-geforce-gt-1030-02g-p4-6332-kr/p/N82E16814487358?Item=9SIAFJ8A151843
MSI,MSI GeForce GTX 1070 Founders Edition,$620.00,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1070-fe-gtx-1070-founders-ed/p/N82E16814127941?Item=9SIAE8D8E18862
ASUS,ASUS ROG GeForce GTX 1070 STRIX-GTX1070-O8G-GAMING 8GB 256-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card with RGB Lighting,$620.00,Free Shipping,https://www.newegg.com/asus-geforce-gtx-1070-strix-gtx1070-o8g-gaming/p/N82E16814126109?Item=9SIAE8D8EG0017
PNY Technologies  Inc.,PNY GeForce RTX 2080 Ti 11GB Blower Graphics Card,$1209.56,Free Shipping,https://www.newegg.com/pny-geforce-rtx-2080-ti-vcg2080t11blmpb/p/N82E16814133544?Item=9SIAFJ8A1A9097
GIGABYTE,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060G1 GAMING-6GD REV 2.0 6GB 192-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,$429.00,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1060-gv-n1060g1-gaming-6gd-rev-2-0/p/N82E16814125881?Item=9SIAE8D9YY9382
ASUS,ASUS GeForce GTX 1080 STRIX-GTX1080-8G-GAMING 8GB 256-Bit GDDR5X PCI Express 3.0 Video Card,$860.00,Free Shipping,https://www.newegg.com/asus-geforce-gtx-1080-strix-gtx1080-8g-gaming/p/N82E16814126106?Item=9SIAE8D8EG8576
GIGABYTE,GIGABYTE GeForce GTX 1060 Mini ITX OC 3GB GV-N1060IXOC-3GD Video Card,$339.00,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1060-gv-n1060ixoc-3gd/p/N82E16814125905?Item=9SIAE8D9295420
ASUS,ASUS TUF Gaming GeForce GTX 1660 Ti DirectX 12 TUF-GTX1660TI-O6G-GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$447.00,Free Shipping,https://www.newegg.com/asus-geforce-gtx-1660-ti-tuf-gtx1660ti-o6g-gaming/p/N82E16814126312?Item=9SIAEUY9H60390
MSI,MSI GeForce GTX 1060 DirectX 12 GTX 1060 3GT OC 3GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,$373.99,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-3gt-oc/p/N82E16814137037?Item=9SIA5758TW6424
MSI,MSI GeForce GTX 1060 DirectX 12 GeForce GTX 1060 GAMING 6G 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,$489.00,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gaming-6g/p/N82E16814137018?Item=9SIAE8D9C95774
EVGA,EVGA GeForce GTX 1070 SC2 GAMING iCX| 08G-P4-6573-KR| 8GB GDDR5| 9 Thermal Sensors| Asynchronous Fan Control| Thermal Display LED System| Optimized Airflow Fin Design| Die Cast/Form Fitted Baseplate,$635.00,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1070-08g-p4-6573-kr/p/N82E16814487320?Item=9SIAE8D8EV4245
EVGA,EVGA 02G-P4-3757-KR G-SYNC Support GeForce GTX 750 Ti 2GB 128-Bit GDDR5 PCI Express 3.0 FTW w/ ACX Cooling Video Card,$330.00,Free Shipping,https://www.newegg.com/evga-geforce-gtx-750-ti-02g-p4-3757-kr/p/N82E16814487028?Item=9SIAE8D9DH9599
MSI,MSI GeForce GT 730 DirectX 12 N730-2GD3V3 2GB 128-Bit DDR3 PCI Express 2.0 x16 HDCP Ready ATX Video Card,$74.38,Free Shipping,https://www.newegg.com/msi-geforce-gt-730-n730-2gd3v3/p/N82E16814127906?Item=9SIA2F84D06752
ASUS,ASUS ROG GeForce GTX 1080 Ti DirectX 12 STRIX-GTX1080TI-11G-GAMING 11GB 352-Bit GDDR5X HDCP Ready SLI Support Video Card,$1100.00,Free Shipping,https://www.newegg.com/asus-geforce-gtx-1080-ti-strix-gtx1080ti-11g-gaming/p/N82E16814126187?Item=9SIAE8D8EG8579
